Date,Open,High,Low,Close,Volume,Adj. Close
20/09/2001,8375.72,8711.38,8304.45,8376.21,2.00E+09,8376.21
19/09/2001,8903.54,8990.37,8453.01,8759.13,2.12E+09,8759.13
18/09/2001,8922.7,9126.89,8743.91,8903.4,1.65E+09,8903.4
17/09/2001,9294.55,9294.55,8755.46,8920.7,2.33E+09,8920.7
16/09/2001,9603.36,9740.44,9431.07,9605.51,1.28E+09,9605.51
15/09/2001,9603.36,9740.44,9431.07,9605.51,1.28E+09,9605.51
14/09/2001,9603.36,9740.44,9431.07,9605.51,1.28E+09,9605.51
13/09/2001,9603.36,9740.44,9431.07,9605.51,1.28E+09,9605.51
12/09/2001,9603.36,9740.44,9431.07,9605.51,1.28E+09,9605.51
11/09/2001,9603.36,9740.44,9431.07,9605.51,1.28E+09,9605.51
10/09/2001,9603.36,9740.44,9431.07,9605.51,1.28E+09,9605.51
9/09/2001,9841.25,9842.08,9507.04,9605.85,1.42E+09,9605.85
8/09/2001,9841.25,9842.08,9507.04,9605.85,1.42E+09,9605.85
7/09/2001,9841.25,9842.08,9507.04,9605.85,1.42E+09,9605.85
6/09/2001,10028.35,10053.73,9762.03,9840.84,1.36E+09,9840.84
5/09/2001,9998.12,10140.79,9820.98,10033.27,1.38E+09,10033.27
4/09/2001,9946.98,10238.5,9858.34,9997.49,1.18E+09,9997.49
3/09/2001,9918.96,10072.22,9846.72,9949.75,9.20E+08,9949.75
2/09/2001,9918.96,10072.22,9846.72,9949.75,9.20E+08,9949.75
1/09/2001,9918.96,10072.22,9846.72,9949.75,9.20E+08,9949.75
31/08/2001,9918.96,10072.22,9846.72,9949.75,9.20E+08,9949.75
30/08/2001,10077.07,10149.1,9829.35,9919.58,1.16E+09,9919.58
29/08/2001,10224.45,10292.6,10030.43,10090.9,9.64E+08,10090.9
28/08/2001,10382.56,10405.88,10175.6,10222.03,9.87E+08,10222.03
27/08/2001,10422.76,10498.03,10334.88,10382.35,8.43E+08,10382.35
26/08/2001,10232.48,10487.52,10190.34,10423.17,1.04E+09,10423.17
25/08/2001,10232.48,10487.52,10190.34,10423.17,1.04E+09,10423.17
24/08/2001,10232.48,10487.52,10190.34,10423.17,1.04E+09,10423.17
23/08/2001,10276.41,10357.09,10142.66,10229.15,9.86E+08,10229.15
22/08/2001,10170.3,10340.76,10099.07,10276.9,1.11E+09,10276.9
21/08/2001,10320.07,10436.39,10132.92,10174.14,1.04E+09,10174.14
20/08/2001,10239.33,10388.23,10146.05,10320.07,8.97E+08,10320.07
19/08/2001,10385.46,10418.68,10143.49,10240.78,9.74E+08,10240.78
18/08/2001,10385.46,10418.68,10143.49,10240.78,9.74E+08,10240.78
17/08/2001,10385.46,10418.68,10143.49,10240.78,9.74E+08,10240.78
16/08/2001,10342.1,10460.82,10198.15,10392.52,1.06E+09,10392.52
15/08/2001,10407.05,10530.36,10289.01,10345.95,1.07E+09,10345.95
14/08/2001,10416.95,10513.68,10333.29,10412.17,9.65E+08,10412.17
13/08/2001,10411.9,10504.82,10314.95,10415.91,8.38E+08,10415.91
12/08/2001,10296.89,10473.34,10164.67,10416.25,9.61E+08,10416.25
11/08/2001,10296.89,10473.34,10164.67,10416.25,9.61E+08,10416.25
10/08/2001,10296.89,10473.34,10164.67,10416.25,9.61E+08,10416.25
9/08/2001,10291.15,10361.52,10160.51,10298.56,1.10E+09,10298.56
8/08/2001,10456.18,10509.8,10245.68,10293.5,1.12E+09,10293.5
7/08/2001,10399.03,10520.11,10324.5,10458.74,1.01E+09,10458.74
6/08/2001,10504.13,10549.59,10337.23,10401.31,8.12E+08,10401.31
5/08/2001,10550.01,10592.98,10381.1,10512.78,9.40E+08,10512.78
4/08/2001,10550.01,10592.98,10381.1,10512.78,9.40E+08,10512.78
3/08/2001,10550.01,10592.98,10381.1,10512.78,9.40E+08,10512.78
2/08/2001,10513.47,10663.07,10454.53,10551.18,1.22E+09,10551.18
1/08/2001,10527.38,10659.33,10423.31,10510.01,1.34E+09,10510.01
31/07/2001,10403.18,10639.4,10364.84,10522.81,1.13E+09,10522.81
30/07/2001,10418.68,10513.26,10301.05,10401.72,9.09E+08,10401.72
29/07/2001,10451.89,10516.38,10316.27,10416.67,1.02E+09,10416.67
28/07/2001,10451.89,10516.38,10316.27,10416.67,1.02E+09,10416.67
27/07/2001,10451.89,10516.38,10316.27,10416.67,1.02E+09,10416.67
26/07/2001,10403.46,10498.73,10237.46,10455.63,1.21E+09,10455.63
25/07/2001,10241.75,10466.28,10159.34,10405.67,1.28E+09,10405.67
24/07/2001,10423.8,10469.4,10170.82,10241.12,1.20E+09,10241.12
23/07/2001,10576.92,10644.73,10374.81,10424.42,9.87E+08,10424.42
22/07/2001,10606.19,10668.33,10456.25,10576.65,1.17E+09,10576.65
21/07/2001,10606.19,10668.33,10456.25,10576.65,1.17E+09,10576.65
20/07/2001,10606.19,10668.33,10456.25,10576.65,1.17E+09,10576.65
19/07/2001,10574.33,10758.14,10480.54,10610,1.34E+09,10610
18/07/2001,10594.54,10676.83,10374.55,10569.83,1.32E+09,10569.83
17/07/2001,10468.62,10683.76,10363.51,10606.39,1.24E+09,10606.39
16/07/2001,10537.98,10649.02,10374.55,10472.12,1.04E+09,10472.12
15/07/2001,10478.39,10615.42,10374.01,10539.06,1.12E+09,10539.06
14/07/2001,10478.39,10615.42,10374.01,10539.06,1.12E+09,10539.06
13/07/2001,10478.39,10615.42,10374.01,10539.06,1.12E+09,10539.06
12/07/2001,10269.31,10542.02,10249.58,10478.99,1.39E+09,10478.99
11/07/2001,10174.7,10355.83,10049.38,10241.02,1.38E+09,10241.02
10/07/2001,10300.82,10406.87,10104.06,10175.64,1.26E+09,10175.64
9/07/2001,10253.62,10389.91,10166.55,10299.4,1.05E+09,10299.4
8/07/2001,10476.73,10483.82,10176.26,10252.68,1.06E+09,10252.68
7/07/2001,10476.73,10483.82,10176.26,10252.68,1.06E+09,10252.68
6/07/2001,10476.73,10483.82,10176.26,10252.68,1.06E+09,10252.68
5/07/2001,10566.23,10617.47,10403.57,10479.86,9.35E+08,10479.86
4/07/2001,10588.89,10648,10479.99,10571.11,6.22E+08,10571.11
3/07/2001,10588.89,10648,10479.99,10571.11,6.22E+08,10571.11
2/07/2001,10504.95,10707.24,10397.2,10593.72,1.13E+09,10593.72
1/07/2001,10565.27,10729.18,10374.32,10502.4,1.83E+09,10502.4
30/06/2001,10565.27,10729.18,10374.32,10502.4,1.83E+09,10502.4
29/06/2001,10565.27,10729.18,10374.32,10502.4,1.83E+09,10502.4
28/06/2001,10438.73,10736.43,10429.74,10566.21,1.33E+09,10566.21
27/06/2001,10470.35,10608.48,10351.1,10434.84,1.16E+09,10434.84
26/06/2001,10497.3,10600.9,10313.4,10472.48,1.20E+09,10472.48
25/06/2001,10607.88,10711.19,10417.93,10504.22,1.05E+09,10504.22
