Date,Open,High,Low,Close,Volume,Adj. Close*
26-Apr-04,10472.91,10540.26,10396.75,10444.73,1290599936,10444.73
23-Apr-04,10463.11,10543.95,10362.97,10472.84,1396099968,10472.84
22-Apr-04,10314.99,10529.12,10255.88,10461.20,1826700032,10461.20
21-Apr-04,10311.87,10398.53,10200.38,10317.27,1738099968,10317.27
20-Apr-04,10437.85,10530.61,10297.39,10314.50,1508499968,10314.50
19-Apr-04,10451.62,10501.79,10351.97,10437.85,1194899968,10437.85
16-Apr-04,10398.32,10500.57,10343.74,10451.97,1487800064,10451.97
15-Apr-04,10377.95,10481.21,10279.37,10397.46,1568700032,10397.46
14-Apr-04,10378.10,10453.39,10259.35,10377.95,1547699968,10377.95
13-Apr-04,10516.05,10572.13,10343.17,10381.28,1423200000,10381.28
12-Apr-04,10444.38,10559.28,10439.27,10515.56,1102400000,10515.56
8-Apr-04,10482.77,10590.15,10383.84,10442.03,1199800064,10442.03
7-Apr-04,10569.26,10580.51,10422.74,10480.15,1458800000,10480.15
6-Apr-04,10553.76,10596.37,10467.26,10570.81,1397699968,10570.81
5-Apr-04,10470.59,10582.22,10423.33,10558.37,1413699968,10558.37
2-Apr-04,10375.33,10548.74,10375.33,10470.59,1629200000,10470.59
1-Apr-04,10357.52,10449.33,10299.48,10373.33,1560700032,10373.33
31-Mar-04,10380.89,10428.59,10287.11,10357.70,1560700032,10357.70
30-Mar-04,10327.63,10411.41,10264.15,10381.70,1332400000,10381.70
29-Mar-04,10212.91,10389.93,10212.91,10329.63,1405500032,10329.63
26-Mar-04,10218.37,10306.22,10145.63,10212.97,1319100032,10212.97
25-Mar-04,10049.56,10246.15,10049.56,10218.82,1471699968,10218.82
24-Mar-04,10065.41,10140.23,9975.86,10048.23,1527800064,10048.23
23-Mar-04,10066.67,10177.04,10020.75,10063.64,1458200064,10063.64
22-Mar-04,10185.93,10185.93,9985.19,10064.75,1452300032,10064.75
19-Mar-04,10295.85,10355.41,10163.71,10186.60,1457400064,10186.60
18-Mar-04,10298.96,10355.04,10187.78,10295.78,1369200000,10295.78
17-Mar-04,10184.30,10356.59,10184.30,10300.30,1490099968,10300.30
16-Mar-04,10103.41,10253.26,10085.34,10184.67,1500700032,10184.67
15-Mar-04,10238.45,10252.68,10066.08,10102.89,1600600064,10102.89
12-Mar-04,10130.67,10281.63,10097.04,10240.08,1388499968,10240.08
11-Mar-04,10288.85,10356.22,10102.75,10128.38,1889900032,10128.38
10-Mar-04,10457.59,10523.11,10259.34,10296.89,1648400000,10296.89
9-Mar-04,10529.52,10567.03,10391.48,10456.96,1499399936,10456.96
8-Mar-04,10595.37,10677.85,10505.85,10529.48,1254400000,10529.48
5-Mar-04,10582.59,10681.40,10497.11,10595.55,1398200064,10595.55
